repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
charmbracelet/crush,2026,no,agent_application,573,395,316,178,1248,1026,253,222,0.507853,0.162847,0.652593,11,3,0.862845
cline/cline,2024,no,agent_application,182,102,0,80,21,14,0,7,,,,1,1,1.0
cline/cline,2025,no,agent_application,1645,1361,6,284,2384,2323,0,61,0.44492,0.01514,0.685087,23,4,0.65519
cline/cline,2026,no,agent_application,1390,1329,669,61,3520,2818,445,702,0.513076,0.182137,0.476357,31,4,0.653441
code-yeongyu/oh-my-openagent,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
code-yeongyu/oh-my-openagent,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
code-yeongyu/oh-my-openagent,2026,no,agent_application,2431,1997,497,434,4583,3711,375,872,0.133841,0.104733,0.556091,9,1,0.981629
coder/coder,2024,yes,agent_runtime_infra,956,1233,106,-277,2106,2113,0,-7,0.267442,0.0,0.866318,30,6,0.476093
coder/coder,2025,yes,agent_runtime_infra,706,489,203,217,2812,2782,0,30,0.412346,0.000603,0.863088,46,9,0.330172
coder/coder,2026,yes,agent_runtime_infra,480,466,199,14,6767,6301,185,466,0.420613,0.002226,0.745549,64,7,0.417184
comet-ml/opik,2024,yes,agent_runtime_infra,4,4,0,0,29,29,0,0,1.0,0.041667,0.875,6,1,0.986301
comet-ml/opik,2025,yes,agent_runtime_infra,297,223,15,74,1862,1852,0,10,0.27,0.0,0.916523,34,6,0.465714
comet-ml/opik,2026,yes,agent_runtime_infra,177,143,82,34,3288,3168,110,120,0.409836,0.002272,0.791458,43,7,0.41088
coze-dev/coze-loop,2024,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
coze-dev/coze-loop,2025,no,agent_runtime_infra,73,47,23,26,58,49,3,9,,,,9,3,0.801724
coze-dev/coze-loop,2026,no,agent_runtime_infra,11,3,8,8,260,243,23,17,0.666667,0.065359,0.862745,35,5,0.541063
danny-avila/LibreChat,2024,yes,agent_application,837,778,16,59,770,755,1,15,0.066381,0.017241,0.800766,4,1,1.0
danny-avila/LibreChat,2025,yes,agent_application,1554,1531,47,23,1063,1019,7,44,0.056075,0.048598,0.674766,7,1,0.994889
danny-avila/LibreChat,2026,yes,agent_application,1064,934,206,130,2575,2254,332,321,0.132137,0.108108,0.654382,6,1,0.999602
datahub-project/datahub,2024,yes,model_infra,273,223,81,50,1461,1444,19,17,0.265193,0.034292,0.847345,24,3,0.775649
datahub-project/datahub,2025,yes,model_infra,213,96,129,117,2138,2043,59,95,0.75,0.062107,0.813679,38,6,0.47778
datahub-project/datahub,2026,yes,model_infra,287,131,189,156,3445,2919,562,526,0.639175,0.118846,0.770232,64,8,0.389793
diegosouzapw/OmniRoute,2024,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
diegosouzapw/OmniRoute,2025,no,model_infra,0,0,0,0,0,0,0,0,,,,0,0,
diegosouzapw/OmniRoute,2026,no,model_infra,3988,3854,79,134,7759,7386,17,373,0.0,0.0,0.835381,3,1,1.0
docling-project/docling,2024,no,model_infra,7,2,0,5,49,48,0,1,,,,5,2,1.0
docling-project/docling,2025,no,model_infra,851,454,361,397,401,393,0,8,0.488372,0.030189,0.781132,13,2,0.780556
docling-project/docling,2026,no,model_infra,485,333,218,152,745,657,78,88,0.494915,0.043103,0.689655,13,3,0.860215
earendil-works/pi,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
earendil-works/pi,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,1,1,1.0
earendil-works/pi,2026,no,agent_application,5415,5324,100,91,2813,2641,63,172,0.001712,0.001729,0.287608,7,1,0.992095
eosphoros-ai/DB-GPT,2024,yes,agent_framework,505,549,24,-44,386,384,4,2,0.080247,0.012712,0.855932,15,4,0.684982
eosphoros-ai/DB-GPT,2025,yes,agent_framework,379,145,137,234,229,213,17,16,0.680272,0.063584,0.855491,8,2,0.945848
eosphoros-ai/DB-GPT,2026,yes,agent_framework,84,153,43,-69,154,114,35,40,0.479167,0.25974,0.636364,5,2,1.0
esengine/DeepSeek-Reasonix,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
esengine/DeepSeek-Reasonix,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
esengine/DeepSeek-Reasonix,2026,no,agent_application,4378,3149,1222,1229,4850,4227,428,623,0.0,0.0,0.864714,2,1,1.0
farion1231/cc-switch,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
farion1231/cc-switch,2025,no,agent_application,1,0,0,1,1,1,0,0,,,,1,1,1.0
farion1231/cc-switch,2026,no,agent_application,4521,2907,1676,1614,1727,737,872,990,0.24555,0.324759,0.368167,5,1,1.0
flashinfer-ai/flashinfer,2024,yes,model_infra,91,62,1,29,356,350,0,6,0.473684,0.011111,0.938889,5,1,1.0
flashinfer-ai/flashinfer,2025,yes,model_infra,230,103,7,127,668,625,21,43,0.523077,0.026515,0.893939,14,1,0.954617
flashinfer-ai/flashinfer,2026,yes,model_infra,665,623,277,42,1899,1322,498,577,0.399425,0.179641,0.656287,28,4,0.650728
ggml-org/llama.cpp,2024,yes,model_infra,1749,2211,32,-462,2115,1980,105,135,0.076599,0.068118,0.795646,34,2,0.784722
ggml-org/llama.cpp,2025,yes,model_infra,1553,1458,22,95,2425,2236,136,189,0.055944,0.102069,0.762069,46,2,0.738218
ggml-org/llama.cpp,2026,yes,model_infra,3195,2676,743,519,5510,4413,967,1097,0.058856,0.13199,0.605007,30,3,0.689655
google-gemini/gemini-cli,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
google-gemini/gemini-cli,2025,no,agent_application,3895,2480,24,1415,3235,2969,0,266,0.051948,0.0,0.907534,55,8,0.378425
google-gemini/gemini-cli,2026,no,agent_application,6212,7539,524,-1327,6559,6653,260,-94,0.118653,0.022206,0.450524,55,11,0.275378
huggingface/trl,2024,yes,model_infra,420,435,0,-15,412,405,0,7,0.028986,0.008299,0.838174,9,2,0.947425
huggingface/trl,2025,yes,model_infra,681,324,12,357,731,711,4,20,0.545635,0.103297,0.683516,11,1,0.969697
huggingface/trl,2026,yes,model_infra,352,779,89,-427,1814,1593,179,221,0.292683,0.086667,0.747778,14,1,0.977083
infiniflow/ragflow,2024,yes,agent_runtime_infra,1009,624,5,385,1108,1106,0,2,0.279022,0.0,0.941176,4,1,1.0
infiniflow/ragflow,2025,yes,agent_runtime_infra,3095,1033,409,2062,2071,2060,0,11,0.665912,0.000816,0.88,4,1,1.0
infiniflow/ragflow,2026,yes,agent_runtime_infra,1465,3222,613,-1757,5081,4445,434,636,0.522608,0.070647,0.78806,8,2,0.959633
jax-ml/jax,2024,yes,model_infra,650,548,189,102,3147,3068,45,79,0.476427,0.060948,0.695824,8,1,0.968553
jax-ml/jax,2025,yes,model_infra,653,526,227,127,4800,4591,86,209,0.487805,0.062942,0.73232,9,1,0.941176
jax-ml/jax,2026,yes,model_infra,511,423,287,88,5529,5380,419,149,0.5,0.062963,0.711111,8,2,0.943089
kvcache-ai/Mooncake,2024,no,model_infra,3,1,0,2,0,0,0,0,,,,2,1,1.0
kvcache-ai/Mooncake,2025,no,model_infra,208,94,0,114,528,483,1,45,0.529915,0.056818,0.829545,9,2,0.935551
kvcache-ai/Mooncake,2026,no,model_infra,538,524,231,14,1943,1578,276,365,0.34715,0.097911,0.789817,29,2,0.792621
langchain-ai/deepagents,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
langchain-ai/deepagents,2025,no,agent_framework,28,14,0,14,57,43,0,14,,,,3,1,1.0
langchain-ai/deepagents,2026,no,agent_framework,920,858,134,62,4355,4281,33,74,0.107877,0.001672,0.77476,33,1,0.80251
langchain-ai/langchain,2024,yes,agent_framework,2101,3105,0,-1004,5750,5995,0,-245,0.351279,0.039594,0.784058,17,3,0.859764
langchain-ai/langchain,2025,yes,agent_framework,627,828,23,-201,2446,2349,0,97,0.315068,0.009504,0.763069,21,1,0.912695
langchain-ai/langchain,2026,yes,agent_framework,1181,1032,280,149,3974,3942,75,32,0.311278,0.032693,0.438905,18,1,0.907238
langflow-ai/langflow,2024,yes,agent_framework,765,717,2,48,1449,1416,4,33,0.284314,0.00489,0.826406,21,2,0.88616
langflow-ai/langflow,2025,yes,agent_framework,1031,768,67,263,2820,2487,199,333,0.48927,0.125914,0.597179,26,4,0.649684
langflow-ai/langflow,2026,yes,agent_framework,401,525,100,-124,3197,2907,429,290,0.235741,0.14643,0.574257,31,5,0.560298
langfuse/langfuse,2024,yes,agent_runtime_infra,359,296,6,63,1545,1536,3,9,0.223214,0.008801,0.777778,7,2,0.997639
langfuse/langfuse,2025,yes,agent_runtime_infra,896,807,44,89,1831,1757,47,74,0.190099,0.038674,0.8186,10,2,0.906822
langfuse/langfuse,2026,yes,agent_runtime_infra,757,770,170,-13,4015,3418,471,597,0.227586,0.096535,0.711015,22,5,0.533804
langgenius/dify,2024,yes,agent_framework,2599,2388,0,211,2574,2544,0,30,0.011447,0.00214,0.880884,20,4,0.736248
langgenius/dify,2025,yes,agent_framework,7209,6886,2,323,3242,3209,4,33,0.059072,0.020799,0.80624,28,4,0.656957
langgenius/dify,2026,yes,agent_framework,3163,3297,314,-134,7127,6203,649,924,0.024675,0.089133,0.694635,46,5,0.540822
larksuite/cli,2024,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
larksuite/cli,2025,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
