scope,scope_value,year,threads,issues,pull_requests,repositories,agent_participation_count,agent_participation_share,human_response_within_7d_count,human_response_within_7d_share,maintainer_response_within_7d_count,maintainer_response_within_7d_share,issue_resolved_within_30d_count,issue_resolved_within_30d_share,pr_resolved_within_30d_count,pr_resolved_within_30d_share,pr_reviewed_count,pr_reviewed_share,pr_requested_revision_count,pr_requested_revision_share,requested_revision_followed_by_commit_count,requested_revision_followed_by_commit_share,pr_zero_requested_revision_share,pr_one_requested_revision_share,pr_two_plus_requested_revision_share,median_requested_revision_cycles_among_requested_prs,median_commits_after_first_review
repository,pytorch/pytorch,2026,50,11,39,1,7,0.14,31,0.62,23,0.46,6,0.5454545454545454,23,0.5897435897435898,30,0.7692307692307693,6,0.15384615384615385,5,0.8333333333333334,0.8461538461538461,0.10256410256410256,0.05128205128205128,1.0,1.0
repository,ray-project/ray,2026,50,6,44,1,41,0.82,24,0.48,10,0.2,4,0.6666666666666666,39,0.8863636363636364,39,0.8863636363636364,2,0.045454545454545456,2,1.0,0.9545454545454546,0.045454545454545456,0.0,1.0,2.0
repository,sgl-project/sglang,2026,50,6,44,1,39,0.78,18,0.36,17,0.34,2,0.3333333333333333,30,0.6818181818181818,29,0.6590909090909091,1,0.022727272727272728,1,1.0,0.9772727272727273,0.022727272727272728,0.0,1.0,1.0
repository,siyuan-note/siyuan,2026,50,46,4,1,1,0.02,36,0.72,29,0.58,41,0.8913043478260869,4,1.0,2,0.5,0,0.0,0,,1.0,0.0,0.0,,0.5
repository,supabase/supabase,2026,50,6,44,1,45,0.9,37,0.74,17,0.34,5,0.8333333333333334,33,0.75,37,0.8409090909090909,1,0.022727272727272728,1,1.0,0.9772727272727273,0.022727272727272728,0.0,1.0,0.0
repository,triton-lang/triton,2026,50,6,44,1,4,0.08,35,0.7,25,0.5,4,0.6666666666666666,39,0.8863636363636364,32,0.7272727272727273,2,0.045454545454545456,2,1.0,0.9545454545454546,0.022727272727272728,0.022727272727272728,2.0,0.0
repository,unslothai/unsloth,2026,50,16,34,1,33,0.66,23,0.46,19,0.38,8,0.5,32,0.9411764705882353,31,0.9117647058823529,0,0.0,0,,1.0,0.0,0.0,,3.0
repository,vercel/ai,2026,50,7,43,1,12,0.24,27,0.54,20,0.4,6,0.8571428571428571,33,0.7674418604651163,27,0.627906976744186,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,vllm-project/vllm,2026,50,9,41,1,35,0.7,25,0.5,22,0.44,3,0.3333333333333333,21,0.5121951219512195,37,0.9024390243902439,2,0.04878048780487805,2,1.0,0.9512195121951219,0.04878048780487805,0.0,1.0,1.0
repository,wandb/wandb,2026,50,2,48,1,13,0.26,37,0.74,7,0.14,2,1.0,41,0.8541666666666666,36,0.75,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,warpdotdev/warp,2026,50,17,33,1,40,0.8,19,0.38,6,0.12,8,0.47058823529411764,20,0.6060606060606061,23,0.696969696969697,7,0.21212121212121213,3,0.42857142857142855,0.7878787878787878,0.18181818181818182,0.030303030303030304,1.0,0.0
repository,weaviate/weaviate,2026,50,5,45,1,21,0.42,36,0.72,9,0.18,1,0.2,38,0.8444444444444444,45,1.0,0,0.0,0,,1.0,0.0,0.0,,0.0
