cohort,rank,repo_id,repo_name,year,push_events,push_actors,actors_for_50pct_pushes,top_actor_share,top_5_actor_share,quality_flag
Agentic AI Top 100,63,176982014,NVIDIA/Megatron-LM,2025,649,3,1,0.993837,1.0,observed
Agentic AI Top 100,63,176982014,NVIDIA/Megatron-LM,2026,374,15,2,0.352941,0.946524,observed
Agentic AI Top 100,64,1157102282,diegosouzapw/OmniRoute,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,64,1157102282,diegosouzapw/OmniRoute,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,64,1157102282,diegosouzapw/OmniRoute,2026,2833,3,1,0.998941,1.0,observed
Agentic AI Top 100,65,136202695,mlflow/mlflow,2024,2047,31,3,0.203224,0.720078,observed
Agentic AI Top 100,65,136202695,mlflow/mlflow,2025,1820,21,3,0.302198,0.75,observed
Agentic AI Top 100,65,136202695,mlflow/mlflow,2026,1988,22,2,0.319416,0.863179,observed
Agentic AI Top 100,66,655515393,CopilotKit/CopilotKit,2024,1070,4,1,0.608411,1.0,observed
Agentic AI Top 100,66,655515393,CopilotKit/CopilotKit,2025,2347,13,2,0.280358,0.876864,observed
Agentic AI Top 100,66,655515393,CopilotKit/CopilotKit,2026,2956,22,3,0.310217,0.665765,observed
Agentic AI Top 100,67,642497346,langfuse/langfuse,2024,5929,7,2,0.466015,0.997639,observed
Agentic AI Top 100,67,642497346,langfuse/langfuse,2025,3606,10,2,0.284248,0.906822,observed
Agentic AI Top 100,67,642497346,langfuse/langfuse,2026,2692,22,5,0.141902,0.533804,observed
Agentic AI Top 100,68,1133707766,multica-ai/multica,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,68,1133707766,multica-ai/multica,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,68,1133707766,multica-ai/multica,2026,1806,5,2,0.401993,1.0,observed
Agentic AI Top 100,69,1007406267,coze-dev/coze-loop,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,69,1007406267,coze-dev/coze-loop,2025,116,9,3,0.293103,0.801724,observed
Agentic AI Top 100,69,1007406267,coze-dev/coze-loop,2026,828,35,5,0.219807,0.541063,observed
Agentic AI Top 100,70,979886407,IBM/mcp-context-forge,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,70,979886407,IBM/mcp-context-forge,2025,714,8,1,0.72549,0.990196,observed
Agentic AI Top 100,70,979886407,IBM/mcp-context-forge,2026,4097,36,5,0.24701,0.537222,observed
Agentic AI Top 100,71,1166129534,NVIDIA/OpenShell,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,71,1166129534,NVIDIA/OpenShell,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,71,1166129534,NVIDIA/OpenShell,2026,1082,21,3,0.280037,0.804991,observed
Agentic AI Top 100,72,1031912724,farion1231/cc-switch,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,72,1031912724,farion1231/cc-switch,2025,56,1,1,1.0,1.0,observed
Agentic AI Top 100,72,1031912724,farion1231/cc-switch,2026,304,5,1,0.723684,1.0,observed
Agentic AI Top 100,73,589831718,Comfy-Org/ComfyUI,2024,644,4,1,0.939441,1.0,observed
Agentic AI Top 100,73,589831718,Comfy-Org/ComfyUI,2025,1046,9,1,0.634799,0.963671,observed
Agentic AI Top 100,73,589831718,Comfy-Org/ComfyUI,2026,1279,29,3,0.283815,0.730258,observed
Agentic AI Top 100,74,1183888342,stablyai/orca,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,74,1183888342,stablyai/orca,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,74,1183888342,stablyai/orca,2026,6324,6,2,0.29222,0.999051,observed
Agentic AI Top 100,75,725205304,unslothai/unsloth,2024,2156,2,1,0.996289,1.0,observed
Agentic AI Top 100,75,725205304,unslothai/unsloth,2025,1460,2,1,0.952055,1.0,observed
Agentic AI Top 100,75,725205304,unslothai/unsloth,2026,3815,13,1,0.769069,0.977457,observed
Agentic AI Top 100,76,552661142,langchain-ai/langchain,2024,9156,17,3,0.29893,0.859764,observed
Agentic AI Top 100,76,552661142,langchain-ai/langchain,2025,2497,21,1,0.518222,0.912695,observed
Agentic AI Top 100,76,552661142,langchain-ai/langchain,2026,981,18,1,0.539246,0.907238,observed
Agentic AI Top 100,77,153097643,openvinotoolkit/openvino,2024,623,45,2,0.441413,0.675762,observed
Agentic AI Top 100,77,153097643,openvinotoolkit/openvino,2025,168,10,2,0.392857,0.934524,observed
Agentic AI Top 100,77,153097643,openvinotoolkit/openvino,2026,212,11,2,0.306604,0.872642,observed
Agentic AI Top 100,78,974445592,microsoft/agent-framework,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,78,974445592,microsoft/agent-framework,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,78,974445592,microsoft/agent-framework,2026,947,24,4,0.206969,0.665259,observed
Agentic AI Top 100,79,638951438,comet-ml/opik,2024,73,6,1,0.753425,0.986301,observed
Agentic AI Top 100,79,638951438,comet-ml/opik,2025,4827,34,6,0.146053,0.465714,observed
Agentic AI Top 100,79,638951438,comet-ml/opik,2026,4320,43,7,0.116435,0.41088,observed
Agentic AI Top 100,80,678526156,marimo-team/marimo,2024,2728,3,1,0.544355,1.0,observed
Agentic AI Top 100,80,678526156,marimo-team/marimo,2025,3040,7,1,0.540461,0.989803,observed
Agentic AI Top 100,80,678526156,marimo-team/marimo,2026,1642,10,2,0.29659,0.919001,observed
Agentic AI Top 100,81,55072677,weaviate/weaviate,2024,6002,28,4,0.259247,0.622959,observed
Agentic AI Top 100,81,55072677,weaviate/weaviate,2025,5597,31,5,0.149366,0.5469,observed
Agentic AI Top 100,81,55072677,weaviate/weaviate,2026,2757,25,4,0.157417,0.623141,observed
Agentic AI Top 100,82,599320067,langflow-ai/langflow,2024,6922,21,2,0.474863,0.88616,observed
Agentic AI Top 100,82,599320067,langflow-ai/langflow,2025,7282,26,4,0.163142,0.649684,observed
Agentic AI Top 100,82,599320067,langflow-ai/langflow,2026,3889,31,5,0.268449,0.560298,observed
Agentic AI Top 100,83,1216785679,esengine/DeepSeek-Reasonix,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,83,1216785679,esengine/DeepSeek-Reasonix,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,83,1216785679,esengine/DeepSeek-Reasonix,2026,1391,2,1,0.762761,1.0,observed
Agentic AI Top 100,84,564072810,Arize-ai/phoenix,2024,4232,15,2,0.289934,0.956049,observed
Agentic AI Top 100,84,564072810,Arize-ai/phoenix,2025,5468,27,2,0.356072,0.879115,observed
Agentic AI Top 100,84,564072810,Arize-ai/phoenix,2026,4265,22,2,0.479484,0.879015,observed
Agentic AI Top 100,85,76474200,apache/hudi,2024,896,16,2,0.399554,0.873884,observed
Agentic AI Top 100,85,76474200,apache/hudi,2025,747,12,2,0.30656,0.835341,observed
Agentic AI Top 100,85,76474200,apache/hudi,2026,357,14,3,0.240896,0.876751,observed
Agentic AI Top 100,86,614765452,Significant-Gravitas/AutoGPT,2024,2527,8,3,0.255639,0.831421,observed
Agentic AI Top 100,86,614765452,Significant-Gravitas/AutoGPT,2025,3664,14,3,0.219705,0.798035,observed
Agentic AI Top 100,86,614765452,Significant-Gravitas/AutoGPT,2026,4843,13,2,0.482346,0.83502,observed
Agentic AI Top 100,87,65711522,PaddlePaddle/Paddle,2024,4879,85,6,0.202091,0.48719,observed
Agentic AI Top 100,87,65711522,PaddlePaddle/Paddle,2025,2375,64,6,0.144842,0.453474,observed
Agentic AI Top 100,87,65711522,PaddlePaddle/Paddle,2026,637,42,3,0.265306,0.740973,observed
Agentic AI Top 100,88,1108837393,code-yeongyu/oh-my-openagent,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,88,1108837393,code-yeongyu/oh-my-openagent,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,88,1108837393,code-yeongyu/oh-my-openagent,2026,2014,9,1,0.92006,0.981629,observed
Agentic AI Top 100,89,291438522,siyuan-note/siyuan,2024,2254,2,1,0.530612,1.0,observed
Agentic AI Top 100,89,291438522,siyuan-note/siyuan,2025,1713,2,1,0.527145,1.0,observed
Agentic AI Top 100,89,291438522,siyuan-note/siyuan,2026,1251,3,1,0.658673,1.0,observed
Agentic AI Top 100,90,881221486,verl-project/verl,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,90,881221486,verl-project/verl,2025,1477,12,2,0.352742,0.926879,observed
Agentic AI Top 100,90,881221486,verl-project/verl,2026,408,18,1,0.544118,0.860294,observed
Agentic AI Top 100,91,250510075,huggingface/trl,2024,932,9,2,0.335837,0.947425,observed
Agentic AI Top 100,91,250510075,huggingface/trl,2025,1881,11,1,0.659224,0.969697,observed
